Wierzcholek      Odleglosc od zrodla      Sciezka
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 25 -> 30 -> 1
2                3                        0 -> 25 -> 7 -> 2
3                3                        0 -> 9 -> 36 -> 3
4                6                        0 -> 4
5                2                        0 -> 41 -> 5
6                4                        0 -> 14 -> 32 -> 6
7                2                        0 -> 25 -> 7
8                3                        0 -> 25 -> 10 -> 8
9                1                        0 -> 9
10                2                        0 -> 25 -> 10
11                3                        0 -> 25 -> 7 -> 11
12                3                        0 -> 41 -> 12
13                4                        0 -> 25 -> 13
14                1                        0 -> 14
15                4                        0 -> 35 -> 15
16                3                        0 -> 33 -> 16
17                4                        0 -> 9 -> 46 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 19 -> 20
21                4                        0 -> 41 -> 21
22                4                        0 -> 18 -> 22
23                4                        0 -> 18 -> 27 -> 23
24                2                        0 -> 14 -> 24
25                1                        0 -> 25
26                4                        0 -> 9 -> 26
27                2                        0 -> 18 -> 27
28                2                        0 -> 28
29                3                        0 -> 19 -> 29
30                3                        0 -> 25 -> 30
31                3                        0 -> 25 -> 31
32                2                        0 -> 14 -> 32
33                2                        0 -> 33
34                3                        0 -> 28 -> 34
35                1                        0 -> 35
36                2                        0 -> 9 -> 36
37                3                        0 -> 9 -> 37
38                3                        0 -> 9 -> 46 -> 38
39                3                        0 -> 25 -> 10 -> 39
40                3                        0 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 42
43                3                        0 -> 35 -> 43
44                4                        0 -> 25 -> 10 -> 8 -> 44
45                3                        0 -> 45
46                2                        0 -> 9 -> 46
47                3                        0 -> 47
48                3                        0 -> 19 -> 48
49                3                        0 -> 25 -> 49
