Wierzcholek      Odleglosc od zrodla      Sciezka
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                5                        0 -> 19 -> 1
2                2                        0 -> 14 -> 2
3                2                        0 -> 14 -> 3
4                6                        0 -> 4
5                3                        0 -> 18 -> 5
6                4                        0 -> 14 -> 13 -> 6
7                3                        0 -> 7
8                5                        0 -> 10 -> 8
9                1                        0 -> 9
10                4                        0 -> 10
11                2                        0 -> 14 -> 11
12                4                        0 -> 12
13                3                        0 -> 14 -> 13
14                1                        0 -> 14
15                3                        0 -> 14 -> 15
16                4                        0 -> 14 -> 15 -> 16
17                3                        0 -> 14 -> 2 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                5                        0 -> 18 -> 5 -> 20
21                3                        0 -> 19 -> 21
22                4                        0 -> 14 -> 2 -> 17 -> 22
23                4                        0 -> 14 -> 13 -> 23
24                3                        0 -> 14 -> 11 -> 24
