Wierzcholek      Odleglosc od zrodla      Sciezka
7                3                        0 -> 7
8                3                        0 -> 41 -> 8
9                1                        0 -> 9
10                2                        0 -> 68 -> 10
11                3                        0 -> 41 -> 84 -> 11
12                4                        0 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                2                        0 -> 68 -> 15
16                3                        0 -> 14 -> 79 -> 16
17                3                        0 -> 35 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 20
21                3                        0 -> 41 -> 21
22                3                        0 -> 18 -> 22
23                3                        0 -> 35 -> 23
24                4                        0 -> 7 -> 24
25                1                        0 -> 25
26                3                        0 -> 41 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                3                        0 -> 68 -> 65 -> 30
31                3                        0 -> 18 -> 3 -> 31
32                4                        0 -> 35 -> 58 -> 32
33                2                        0 -> 33
34                2                        0 -> 25 -> 34
35                1                        0 -> 35
36                2                        0 -> 25 -> 36
37                3                        0 -> 68 -> 37
38                3                        0 -> 35 -> 38
39                3                        0 -> 25 -> 34 -> 39
40                2                        0 -> 14 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 87 -> 42
43                2                        0 -> 41 -> 43
44                4                        0 -> 69 -> 44
45                3                        0 -> 45
46                3                        0 -> 18 -> 46
47                3                        0 -> 47
48                3                        0 -> 18 -> 3 -> 48
49                3                        0 -> 25 -> 49
50                4                        0 -> 18 -> 99 -> 96 -> 50
51                2                        0 -> 67 -> 51
52                2                        0 -> 25 -> 52
53                3                        0 -> 35 -> 53
54                3                        0 -> 41 -> 43 -> 54
55                2                        0 -> 35 -> 55
56                2                        0 -> 18 -> 56
57                3                        0 -> 14 -> 79 -> 57
58                3                        0 -> 35 -> 58
59                3                        0 -> 41 -> 43 -> 59
60                3                        0 -> 68 -> 73 -> 60
61                3                        0 -> 68 -> 73 -> 61
62                3                        0 -> 67 -> 29 -> 62
63                3                        0 -> 35 -> 63
64                3                        0 -> 9 -> 64
65                2                        0 -> 68 -> 65
66                4                        0 -> 18 -> 99 -> 96 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                2                        0 -> 9 -> 70
71                4                        0 -> 35 -> 71
72                3                        0 -> 69 -> 72
73                2                        0 -> 68 -> 73
74                3                        0 -> 18 -> 76 -> 74
75                4                        0 -> 82 -> 75
76                2                        0 -> 18 -> 76
77                3                        0 -> 14 -> 40 -> 77
78                3                        0 -> 14 -> 78
79                2                        0 -> 14 -> 79
80                3                        0 -> 68 -> 98 -> 80
81                3                        0 -> 41 -> 81
82                2                        0 -> 82
83                3                        0 -> 18 -> 99 -> 83
84                2                        0 -> 41 -> 84
85                3                        0 -> 41 -> 85
86                3                        0 -> 9 -> 86
87                2                        0 -> 25 -> 87
88                3                        0 -> 68 -> 88
89                3                        0 -> 18 -> 89
90                2                        0 -> 25 -> 90
91                3                        0 -> 18 -> 91
92                3                        0 -> 67 -> 92
93                3                        0 -> 18 -> 56 -> 93
94                3                        0 -> 41 -> 84 -> 94
95                3                        0 -> 25 -> 95
96                3                        0 -> 18 -> 99 -> 96
97                3                        0 -> 9 -> 97
98                2                        0 -> 68 -> 98
99                2                        0 -> 18 -> 99
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 41 -> 43 -> 1
2                3                        0 -> 25 -> 34 -> 2
3                2                        0 -> 18 -> 3
4                3                        0 -> 14 -> 79 -> 4
5                3                        0 -> 67 -> 5
6                3                        0 -> 67 -> 6
7                3                        0 -> 7
8                3                        0 -> 41 -> 8
9                1                        0 -> 9
10                2                        0 -> 68 -> 10
11                3                        0 -> 41 -> 84 -> 11
12                4                        0 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                2                        0 -> 68 -> 15
16                3                        0 -> 14 -> 79 -> 16
17                3                        0 -> 35 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 20
21                3                        0 -> 41 -> 21
22                3                        0 -> 18 -> 22
23                3                        0 -> 35 -> 23
24                4                        0 -> 7 -> 24
25                1                        0 -> 25
26                3                        0 -> 41 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                3                        0 -> 68 -> 65 -> 30
31                3                        0 -> 18 -> 3 -> 31
32                4                        0 -> 35 -> 58 -> 32
33                2                        0 -> 33
34                2                        0 -> 25 -> 34
35                1                        0 -> 35
36                2                        0 -> 25 -> 36
37                3                        0 -> 68 -> 37
38                3                        0 -> 35 -> 38
39                3                        0 -> 25 -> 34 -> 39
40                2                        0 -> 14 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 87 -> 42
43                2                        0 -> 41 -> 43
44                4                        0 -> 69 -> 44
45                3                        0 -> 45
46                3                        0 -> 18 -> 46
47                3                        0 -> 47
48                3                        0 -> 18 -> 3 -> 48
49                3                        0 -> 25 -> 49
50                4                        0 -> 18 -> 99 -> 96 -> 50
51                2                        0 -> 67 -> 51
52                2                        0 -> 25 -> 52
53                3                        0 -> 35 -> 53
54                3                        0 -> 41 -> 43 -> 54
55                2                        0 -> 35 -> 55
56                2                        0 -> 18 -> 56
57                3                        0 -> 14 -> 79 -> 57
58                3                        0 -> 35 -> 58
59                3                        0 -> 41 -> 43 -> 59
60                3                        0 -> 68 -> 73 -> 60
61                3                        0 -> 68 -> 73 -> 61
62                3                        0 -> 67 -> 29 -> 62
63                3                        0 -> 35 -> 63
64                3                        0 -> 9 -> 64
65                2                        0 -> 68 -> 65
66                4                        0 -> 18 -> 99 -> 96 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                2                        0 -> 9 -> 70
71                4                        0 -> 35 -> 71
72                3                        0 -> 69 -> 72
73                2                        0 -> 68 -> 73
74                3                        0 -> 18 -> 76 -> 74
75                4                        0 -> 82 -> 75
76                2                        0 -> 18 -> 76
77                3                        0 -> 14 -> 40 -> 77
78                3                        0 -> 14 -> 78
79                2                        0 -> 14 -> 79
80                3                        0 -> 68 -> 98 -> 80
81                3                        0 -> 41 -> 81
82                2                        0 -> 82
83                3                        0 -> 18 -> 99 -> 83
84                2                        0 -> 41 -> 84
85                3                        0 -> 41 -> 85
86                3                        0 -> 9 -> 86
87                2                        0 -> 25 -> 87
88                3                        0 -> 68 -> 88
89                3                        0 -> 18 -> 89
90                2                        0 -> 25 -> 90
91                3                        0 -> 18 -> 91
92                3                        0 -> 67 -> 92
93                3                        0 -> 18 -> 56 -> 93
94                3                        0 -> 41 -> 84 -> 94
95                3                        0 -> 25 -> 95
96                3                        0 -> 18 -> 99 -> 96
97                3                        0 -> 9 -> 97
98                2                        0 -> 68 -> 98
99                2                        0 -> 18 -> 99
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 41 -> 43 -> 1
2                3                        0 -> 25 -> 34 -> 2
3                2                        0 -> 18 -> 3
4                3                        0 -> 14 -> 79 -> 4
5                3                        0 -> 67 -> 5
6                3                        0 -> 67 -> 6
7                3                        0 -> 7
8                3                        0 -> 41 -> 8
9                1                        0 -> 9
10                2                        0 -> 68 -> 10
11                3                        0 -> 41 -> 84 -> 11
12                4                        0 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                2                        0 -> 68 -> 15
16                3                        0 -> 14 -> 79 -> 16
17                3                        0 -> 35 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 20
21                3                        0 -> 41 -> 21
22                3                        0 -> 18 -> 22
23                3                        0 -> 35 -> 23
24                4                        0 -> 7 -> 24
25                1                        0 -> 25
26                3                        0 -> 41 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                3                        0 -> 68 -> 65 -> 30
31                3                        0 -> 18 -> 3 -> 31
32                4                        0 -> 35 -> 58 -> 32
33                2                        0 -> 33
34                2                        0 -> 25 -> 34
35                1                        0 -> 35
36                2                        0 -> 25 -> 36
37                3                        0 -> 68 -> 37
38                3                        0 -> 35 -> 38
39                3                        0 -> 25 -> 34 -> 39
40                2                        0 -> 14 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 87 -> 42
43                2                        0 -> 41 -> 43
44                4                        0 -> 69 -> 44
45                3                        0 -> 45
46                3                        0 -> 18 -> 46
47                3                        0 -> 47
48                3                        0 -> 18 -> 3 -> 48
49                3                        0 -> 25 -> 49
50                4                        0 -> 18 -> 99 -> 96 -> 50
51                2                        0 -> 67 -> 51
52                2                        0 -> 25 -> 52
53                3                        0 -> 35 -> 53
54                3                        0 -> 41 -> 43 -> 54
55                2                        0 -> 35 -> 55
56                2                        0 -> 18 -> 56
57                3                        0 -> 14 -> 79 -> 57
58                3                        0 -> 35 -> 58
59                3                        0 -> 41 -> 43 -> 59
60                3                        0 -> 68 -> 73 -> 60
61                3                        0 -> 68 -> 73 -> 61
62                3                        0 -> 67 -> 29 -> 62
63                3                        0 -> 35 -> 63
64                3                        0 -> 9 -> 64
65                2                        0 -> 68 -> 65
66                4                        0 -> 18 -> 99 -> 96 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                2                        0 -> 9 -> 70
71                4                        0 -> 35 -> 71
72                3                        0 -> 69 -> 72
73                2                        0 -> 68 -> 73
74                3                        0 -> 18 -> 76 -> 74
75                4                        0 -> 82 -> 75
76                2                        0 -> 18 -> 76
77                3                        0 -> 14 -> 40 -> 77
78                3                        0 -> 14 -> 78
79                2                        0 -> 14 -> 79
80                3                        0 -> 68 -> 98 -> 80
81                3                        0 -> 41 -> 81
82                2                        0 -> 82
83                3                        0 -> 18 -> 99 -> 83
84                2                        0 -> 41 -> 84
85                3                        0 -> 41 -> 85
86                3                        0 -> 9 -> 86
87                2                        0 -> 25 -> 87
88                3                        0 -> 68 -> 88
89                3                        0 -> 18 -> 89
90                2                        0 -> 25 -> 90
91                3                        0 -> 18 -> 91
92                3                        0 -> 67 -> 92
93                3                        0 -> 18 -> 56 -> 93
94                3                        0 -> 41 -> 84 -> 94
95                3                        0 -> 25 -> 95
96                3                        0 -> 18 -> 99 -> 96
97                3                        0 -> 9 -> 97
98                2                        0 -> 68 -> 98
99                2                        0 -> 18 -> 99
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 41 -> 43 -> 1
2                3                        0 -> 25 -> 34 -> 2
3                2                        0 -> 18 -> 3
4                3                        0 -> 14 -> 79 -> 4
5                3                        0 -> 67 -> 5
6                3                        0 -> 67 -> 6
7                3                        0 -> 7
8                3                        0 -> 41 -> 8
9                1                        0 -> 9
10                2                        0 -> 68 -> 10
11                3                        0 -> 41 -> 84 -> 11
12                4                        0 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                2                        0 -> 68 -> 15
16                3                        0 -> 14 -> 79 -> 16
17                3                        0 -> 35 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 20
21                3                        0 -> 41 -> 21
22                3                        0 -> 18 -> 22
23                3                        0 -> 35 -> 23
24                4                        0 -> 7 -> 24
25                1                        0 -> 25
26                3                        0 -> 41 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                3                        0 -> 68 -> 65 -> 30
31                3                        0 -> 18 -> 3 -> 31
32                4                        0 -> 35 -> 58 -> 32
33                2                        0 -> 33
34                2                        0 -> 25 -> 34
35                1                        0 -> 35
36                2                        0 -> 25 -> 36
37                3                        0 -> 68 -> 37
38                3                        0 -> 35 -> 38
39                3                        0 -> 25 -> 34 -> 39
40                2                        0 -> 14 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 87 -> 42
43                2                        0 -> 41 -> 43
44                4                        0 -> 69 -> 44
45                3                        0 -> 45
46                3                        0 -> 18 -> 46
47                3                        0 -> 47
48                3                        0 -> 18 -> 3 -> 48
49                3                        0 -> 25 -> 49
50                4                        0 -> 18 -> 99 -> 96 -> 50
51                2                        0 -> 67 -> 51
52                2                        0 -> 25 -> 52
53                3                        0 -> 35 -> 53
54                3                        0 -> 41 -> 43 -> 54
55                2                        0 -> 35 -> 55
56                2                        0 -> 18 -> 56
57                3                        0 -> 14 -> 79 -> 57
58                3                        0 -> 35 -> 58
59                3                        0 -> 41 -> 43 -> 59
60                3                        0 -> 68 -> 73 -> 60
61                3                        0 -> 68 -> 73 -> 61
62                3                        0 -> 67 -> 29 -> 62
63                3                        0 -> 35 -> 63
64                3                        0 -> 9 -> 64
65                2                        0 -> 68 -> 65
66                4                        0 -> 18 -> 99 -> 96 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                2                        0 -> 9 -> 70
71                4                        0 -> 35 -> 71
72                3                        0 -> 69 -> 72
73                2                        0 -> 68 -> 73
74                3                        0 -> 18 -> 76 -> 74
75                4                        0 -> 82 -> 75
76                2                        0 -> 18 -> 76
77                3                        0 -> 14 -> 40 -> 77
78                3                        0 -> 14 -> 78
79                2                        0 -> 14 -> 79
80                3                        0 -> 68 -> 98 -> 80
81                3                        0 -> 41 -> 81
82                2                        0 -> 82
83                3                        0 -> 18 -> 99 -> 83
84                2                        0 -> 41 -> 84
85                3                        0 -> 41 -> 85
86                3                        0 -> 9 -> 86
87                2                        0 -> 25 -> 87
88                3                        0 -> 68 -> 88
89                3                        0 -> 18 -> 89
90                2                        0 -> 25 -> 90
91                3                        0 -> 18 -> 91
92                3                        0 -> 67 -> 92
93                3                        0 -> 18 -> 56 -> 93
94                3                        0 -> 41 -> 84 -> 94
95                3                        0 -> 25 -> 95
96                3                        0 -> 18 -> 99 -> 96
97                3                        0 -> 9 -> 97
98                2                        0 -> 68 -> 98
99                2                        0 -> 18 -> 99
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 41 -> 43 -> 1
2                3                        0 -> 25 -> 34 -> 2
3                2                        0 -> 18 -> 3
4                3                        0 -> 14 -> 79 -> 4
5                3                        0 -> 67 -> 5
6                3                        0 -> 67 -> 6
7                3                        0 -> 7
8                3                        0 -> 41 -> 8
9                1                        0 -> 9
10                2                        0 -> 68 -> 10
11                3                        0 -> 41 -> 84 -> 11
12                4                        0 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                2                        0 -> 68 -> 15
16                3                        0 -> 14 -> 79 -> 16
17                3                        0 -> 35 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 20
21                3                        0 -> 41 -> 21
22                3                        0 -> 18 -> 22
23                3                        0 -> 35 -> 23
24                4                        0 -> 7 -> 24
25                1                        0 -> 25
26                3                        0 -> 41 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                3                        0 -> 68 -> 65 -> 30
31                3                        0 -> 18 -> 3 -> 31
32                4                        0 -> 35 -> 58 -> 32
33                2                        0 -> 33
34                2                        0 -> 25 -> 34
35                1                        0 -> 35
36                2                        0 -> 25 -> 36
37                3                        0 -> 68 -> 37
38                3                        0 -> 35 -> 38
39                3                        0 -> 25 -> 34 -> 39
40                2                        0 -> 14 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 87 -> 42
43                2                        0 -> 41 -> 43
44                4                        0 -> 69 -> 44
45                3                        0 -> 45
46                3                        0 -> 18 -> 46
47                3                        0 -> 47
48                3                        0 -> 18 -> 3 -> 48
49                3                        0 -> 25 -> 49
50                4                        0 -> 18 -> 99 -> 96 -> 50
51                2                        0 -> 67 -> 51
52                2                        0 -> 25 -> 52
53                3                        0 -> 35 -> 53
54                3                        0 -> 41 -> 43 -> 54
55                2                        0 -> 35 -> 55
56                2                        0 -> 18 -> 56
57                3                        0 -> 14 -> 79 -> 57
58                3                        0 -> 35 -> 58
59                3                        0 -> 41 -> 43 -> 59
60                3                        0 -> 68 -> 73 -> 60
61                3                        0 -> 68 -> 73 -> 61
62                3                        0 -> 67 -> 29 -> 62
63                3                        0 -> 35 -> 63
64                3                        0 -> 9 -> 64
65                2                        0 -> 68 -> 65
66                4                        0 -> 18 -> 99 -> 96 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                2                        0 -> 9 -> 70
71                4                        0 -> 35 -> 71
72                3                        0 -> 69 -> 72
73                2                        0 -> 68 -> 73
74                3                        0 -> 18 -> 76 -> 74
75                4                        0 -> 82 -> 75
76                2                        0 -> 18 -> 76
77                3                        0 -> 14 -> 40 -> 77
78                3                        0 -> 14 -> 78
79                2                        0 -> 14 -> 79
80                3                        0 -> 68 -> 98 -> 80
81                3                        0 -> 41 -> 81
82                2                        0 -> 82
83                3                        0 -> 18 -> 99 -> 83
84                2                        0 -> 41 -> 84
85                3                        0 -> 41 -> 85
86                3                        0 -> 9 -> 86
87                2                        0 -> 25 -> 87
88                3                        0 -> 68 -> 88
89                3                        0 -> 18 -> 89
90                2                        0 -> 25 -> 90
91                3                        0 -> 18 -> 91
92                3                        0 -> 67 -> 92
93                3                        0 -> 18 -> 56 -> 93
94                3                        0 -> 41 -> 84 -> 94
95                3                        0 -> 25 -> 95
96                3                        0 -> 18 -> 99 -> 96
97                3                        0 -> 9 -> 97
98                2                        0 -> 68 -> 98
99                2                        0 -> 18 -> 99
Wierzcholek      Odleglosc od zrodla      Sciezka
0                0                        0
1                3                        0 -> 41 -> 43 -> 1
2                3                        0 -> 25 -> 34 -> 2
3                2                        0 -> 18 -> 3
4                3                        0 -> 14 -> 79 -> 4
5                3                        0 -> 67 -> 5
6                3                        0 -> 67 -> 6
7                3                        0 -> 7
8                3                        0 -> 41 -> 8
9                1                        0 -> 9
10                2                        0 -> 68 -> 10
11                3                        0 -> 41 -> 84 -> 11
12                4                        0 -> 12
13                3                        0 -> 67 -> 13
14                1                        0 -> 14
15                2                        0 -> 68 -> 15
16                3                        0 -> 14 -> 79 -> 16
17                3                        0 -> 35 -> 17
18                1                        0 -> 18
19                2                        0 -> 19
20                3                        0 -> 25 -> 20
21                3                        0 -> 41 -> 21
22                3                        0 -> 18 -> 22
23                3                        0 -> 35 -> 23
24                4                        0 -> 7 -> 24
25                1                        0 -> 25
26                3                        0 -> 41 -> 26
27                2                        0 -> 68 -> 27
28                2                        0 -> 28
29                2                        0 -> 67 -> 29
30                3                        0 -> 68 -> 65 -> 30
31                3                        0 -> 18 -> 3 -> 31
32                4                        0 -> 35 -> 58 -> 32
33                2                        0 -> 33
34                2                        0 -> 25 -> 34
35                1                        0 -> 35
36                2                        0 -> 25 -> 36
37                3                        0 -> 68 -> 37
38                3                        0 -> 35 -> 38
39                3                        0 -> 25 -> 34 -> 39
40                2                        0 -> 14 -> 40
41                1                        0 -> 41
42                3                        0 -> 25 -> 87 -> 42
43                2                        0 -> 41 -> 43
44                4                        0 -> 69 -> 44
45                3                        0 -> 45
46                3                        0 -> 18 -> 46
47                3                        0 -> 47
48                3                        0 -> 18 -> 3 -> 48
49                3                        0 -> 25 -> 49
50                4                        0 -> 18 -> 99 -> 96 -> 50
51                2                        0 -> 67 -> 51
52                2                        0 -> 25 -> 52
53                3                        0 -> 35 -> 53
54                3                        0 -> 41 -> 43 -> 54
55                2                        0 -> 35 -> 55
56                2                        0 -> 18 -> 56
57                3                        0 -> 14 -> 79 -> 57
58                3                        0 -> 35 -> 58
59                3                        0 -> 41 -> 43 -> 59
60                3                        0 -> 68 -> 73 -> 60
61                3                        0 -> 68 -> 73 -> 61
62                3                        0 -> 67 -> 29 -> 62
63                3                        0 -> 35 -> 63
64                3                        0 -> 9 -> 64
65                2                        0 -> 68 -> 65
66                4                        0 -> 18 -> 99 -> 96 -> 66
67                1                        0 -> 67
68                1                        0 -> 68
69                2                        0 -> 69
70                2                        0 -> 9 -> 70
71                4                        0 -> 35 -> 71
72                3                        0 -> 69 -> 72
73                2                        0 -> 68 -> 73
74                3                        0 -> 18 -> 76 -> 74
75                4                        0 -> 82 -> 75
76                2                        0 -> 18 -> 76
77                3                        0 -> 14 -> 40 -> 77
78                3                        0 -> 14 -> 78
79                2                        0 -> 14 -> 79
80                3                        0 -> 68 -> 98 -> 80
81                3                        0 -> 41 -> 81
82                2                        0 -> 82
83                3                        0 -> 18 -> 99 -> 83
84                2                        0 -> 41 -> 84
85                3                        0 -> 41 -> 85
86                3                        0 -> 9 -> 86
87                2                        0 -> 25 -> 87
88                3                        0 -> 68 -> 88
